run	cap	frequency	period
5.200000000000000e+001	9.209600e-006	1.075260e+000	9.300040e-001
5.300000000000000e+001	1.032560e-005	9.692130e-001	1.031760e+000
5.400000000000000e+001	1.001850e-005	9.955600e-001	1.004460e+000
5.500000000000000e+001	9.011780e-006	1.108070e+000	9.024680e-001
5.600000000000000e+001	1.049470e-005	9.564180e-001	1.045570e+000
5.700000000000000e+001	1.091140e-005	9.225300e-001	1.083980e+000
5.800000000000000e+001	1.090340e-005	9.251740e-001	1.080880e+000
5.900000000000000e+001	9.263250e-006	1.070180e+000	9.344190e-001
6.000000000000000e+001	9.029360e-006	1.116640e+000	8.955460e-001
6.100000000000000e+001	9.337840e-006	1.071680e+000	9.331140e-001
6.200000000000000e+001	1.060480e-005	9.362380e-001	1.068100e+000
6.300000000000000e+001	9.289620e-006	1.079680e+000	9.262030e-001
6.400000000000000e+001	9.132330e-006	1.090250e+000	9.172200e-001
6.500000000000000e+001	9.622700e-006	1.038180e+000	9.632270e-001
6.600000000000000e+001	1.079050e-005	9.268580e-001	1.078910e+000
6.700000000000000e+001	9.456980e-006	1.051460e+000	9.510630e-001
6.800000000000000e+001	9.107610e-006	1.108540e+000	9.020890e-001
6.900000000000000e+001	1.078310e-005	9.181810e-001	1.089110e+000
7.000000000000000e+001	9.094180e-006	1.113170e+000	8.983370e-001
7.100000000000000e+001	1.089230e-005	9.163110e-001	1.091330e+000
7.200000000000000e+001	9.518330e-006	1.063170e+000	9.405820e-001
7.300000000000000e+001	1.017110e-005	9.910190e-001	1.009060e+000
7.400000000000000e+001	9.014340e-006	1.107470e+000	9.029610e-001
7.500000000000000e+001	9.444650e-006	1.070900e+000	9.337960e-001
7.600000000000000e+001	1.071020e-005	9.328340e-001	1.072000e+000
7.700000000000000e+001	1.006030e-005	9.932090e-001	1.006840e+000
7.800000000000000e+001	9.062140e-006	1.111450e+000	8.997270e-001
7.900000000000000e+001	1.089580e-005	9.084170e-001	1.100820e+000
8.000000000000000e+001	9.584490e-006	1.049650e+000	9.527000e-001
8.100000000000000e+001	9.481090e-006	1.036420e+000	9.648630e-001
8.200000000000000e+001	9.160220e-006	1.093360e+000	9.146100e-001
8.300000000000000e+001	9.421280e-006	1.077660e+000	9.279380e-001
8.400000000000000e+001	9.622270e-006	1.041290e+000	9.603460e-001
8.500000000000000e+001	9.307020e-006	1.083570e+000	9.228720e-001
8.600000000000000e+001	1.029110e-005	9.584880e-001	1.043310e+000
8.700000000000000e+001	9.301520e-006	1.062330e+000	9.413230e-001
8.800000000000000e+001	1.015710e-005	9.871230e-001	1.013050e+000
8.900000000000000e+001	1.059050e-005	9.457950e-001	1.057310e+000
9.000000000000000e+001	9.395340e-006	1.062560e+000	9.411210e-001
9.100000000000000e+001	9.882600e-006	1.014180e+000	9.860200e-001
